COBERTURA,PERIODICIDAD,FECHA,CONCEPTO,VALOR,UNIDAD_MEDIDA,ESTATUS
Nacional,Mensual,01/11/2005,"Índice nacional de precios al consumidor (mensual), Resumen, Subíndices subyacente y complementarios, Precios al Consumidor (INPC)",59.88249335,Índice,Cifras definitivas
Nacional,Mensual,01/12/2005,"Índice nacional de precios al consumidor (mensual), Resumen, Subíndices subyacente y complementarios, Precios al Consumidor (INPC)",60.25031239,Índice,Cifras definitivas
Nacional,Mensual,01/01/2006,"Índice nacional de precios al consumidor (mensual), Resumen, Subíndices subyacente y complementarios, Precios al Consumidor (INPC)",60.60362589,Índice,Cifras definitivas
Nacional,Mensual,01/02/2006,"Índice nacional de precios al consumidor (mensual), Resumen, Subíndices subyacente y complementarios, Precios al Consumidor (INPC)",60.69635773,Índice,Cifras definitivas
Nacional,Mensual,01/03/2006,"Índice nacional de precios al consumidor (mensual), Resumen, Subíndices subyacente y complementarios, Precios al Consumidor (INPC)",60.77251181,Índice,Cifras definitivas
Nacional,Mensual,01/04/2006,"Índice nacional de precios al consumidor (mensual), Resumen, Subíndices subyacente y complementarios, Precios al Consumidor (INPC)",60.86161727,Índice,Cifras definitivas
Nacional,Mensual,01/05/2006,"Índice nacional de precios al consumidor (mensual), Resumen, Subíndices subyacente y complementarios, Precios al Consumidor (INPC)",60.59067451,Índice,Cifras definitivas
Nacional,Mensual,01/06/2006,"Índice nacional de precios al consumidor (mensual), Resumen, Subíndices subyacente y complementarios, Precios al Consumidor (INPC)",60.64299806,Índice,Cifras definitivas
Nacional,Mensual,01/07/2006,"Índice nacional de precios al consumidor (mensual), Resumen, Subíndices subyacente y complementarios, Precios al Consumidor (INPC)",60.80929371,Índice,Cifras definitivas
Nacional,Mensual,01/08/2006,"Índice nacional de precios al consumidor (mensual), Resumen, Subíndices subyacente y complementarios, Precios al Consumidor (INPC)",61.11960865,Índice,Cifras definitivas
Nacional,Mensual,01/09/2006,"Índice nacional de precios al consumidor (mensual), Resumen, Subíndices subyacente y complementarios, Precios al Consumidor (INPC)",61.73661213,Índice,Cifras definitivas
Nacional,Mensual,01/10/2006,"Índice nacional de precios al consumidor (mensual), Resumen, Subíndices subyacente y complementarios, Precios al Consumidor (INPC)",62.00651878,Índice,Cifras definitivas
Nacional,Mensual,01/11/2006,"Índice nacional de precios al consumidor (mensual), Resumen, Subíndices subyacente y complementarios, Precios al Consumidor (INPC)",62.3318573,Índice,Cifras definitivas
Nacional,Mensual,01/12/2006,"Índice nacional de precios al consumidor (mensual), Resumen, Subíndices subyacente y complementarios, Precios al Consumidor (INPC)",62.69242357,Índice,Cifras definitivas
Nacional,Mensual,01/01/2007,"Índice nacional de precios al consumidor (mensual), Resumen, Subíndices subyacente y complementarios, Precios al Consumidor (INPC)",63.01620793,Índice,Cifras definitivas
Nacional,Mensual,01/02/2007,"Índice nacional de precios al consumidor (mensual), Resumen, Subíndices subyacente y complementarios, Precios al Consumidor (INPC)",63.19234663,Índice,Cifras definitivas
Nacional,Mensual,01/03/2007,"Índice nacional de precios al consumidor (mensual), Resumen, Subíndices subyacente y complementarios, Precios al Consumidor (INPC)",63.32911314,Índice,Cifras definitivas
Nacional,Mensual,01/04/2007,"Índice nacional de precios al consumidor (mensual), Resumen, Subíndices subyacente y complementarios, Precios al Consumidor (INPC)",63.29129513,Índice,Cifras definitivas
Nacional,Mensual,01/05/2007,"Índice nacional de precios al consumidor (mensual), Resumen, Subíndices subyacente y complementarios, Precios al Consumidor (INPC)",62.98253436,Índice,Cifras definitivas
Nacional,Mensual,01/06/2007,"Índice nacional de precios al consumidor (mensual), Resumen, Subíndices subyacente y complementarios, Precios al Consumidor (INPC)",63.05817039,Índice,Cifras definitivas
