
"Banco de México"

"Subastas y colocación de valores"
"Valores Gubernamentales"

"Fecha de consulta: 13/03/2026 10:43:15"

""

"Título","Periodo disponible","Periodicidad","Cifra","Unidad","Base","Aviso","Tipo de información","Serie",02/01/2025,09/01/2025,16/01/2025,23/01/2025,30/01/2025,06/02/2025,13/02/2025,20/02/2025,27/02/2025,06/03/2025,13/03/2025,20/03/2025,27/03/2025,03/04/2025,10/04/2025,16/04/2025,24/04/2025,30/04/2025,08/05/2025,15/05/2025,22/05/2025,29/05/2025,05/06/2025,12/06/2025,19/06/2025,26/06/2025,03/07/2025,10/07/2025,17/07/2025,24/07/2025,31/07/2025,07/08/2025,14/08/2025,21/08/2025,28/08/2025,04/09/2025,11/09/2025,18/09/2025,25/09/2025,02/10/2025,09/10/2025,16/10/2025,23/10/2025,30/10/2025,06/11/2025,13/11/2025,20/11/2025,27/11/2025,04/12/2025,11/12/2025,18/12/2025,24/12/2025,31/12/2025
"Valores gubernamentales Resultados de la subasta semanal, Tasa de rendimiento Cetes a 28 días","02/09/1982 - 12/03/2026","Diaria","Porcentajes","Porcentajes","","","Niveles","SF43936",10.04,9.88,9.78,9.75,9.87,9.65,9.35,9.37,9.44,9.15,9.14,9.10,9.02,8.80,8.80,9.00,8.80,8.65,8.55,8.40,8.15,8.12,8.10,8.10,8.14,8.00,7.70,7.85,7.65,7.65,7.48,7.50,7.38,7.40,7.27,7.35,7.35,7.25,7.20,7.19,7.47,7.40,7.10,7.10,7.30,7.05,7.25,7.15,7.29,7.25,7.15,7.04,7.07

