AÑO,ENTIDAD,CULTIVO,VARIEDAD,UNIDAD_MEDIDA,TIPO_TECNOLOGIA,TIPO_PRODUCCION,TIPO_MERCADO,SUPERFICIE_SEMBRADA,SUPERFICIE_COSECHADA,SUPERFICIE_SINIESTRADA,VOLUMEN_PRODUCCION,RENDIMIENTO,PRECIO_MEDIO_RURAL,VALOR_PRODUCCION
2015,Querétaro,Maíz grano,Maíz grano blanco,Tonelada,Cielo abierto,Convencional,Nacional,110299.8,108387.8,1912.0,308748.81,2.85,3158.76,975264620
2015,Quintana Roo,Maíz grano,Maíz grano blanco,Tonelada,Cielo abierto,Convencional,Nacional,78734.9,45294.9,33440.0,30500.58,0.67,4097.32,124970740
2015,San Luis Potosí,Maíz grano,Maíz grano blanco,Tonelada,Cielo abierto,Convencional,Nacional,232943.06,170191.06,62752.0,168561.8,0.99,3838.58,647038460
2015,Sinaloa,Maíz grano,Maíz grano blanco,Tonelada,Cielo abierto,Convencional,Nacional,523955.29,520541.12,3414.17,5190692.87,9.97,3328.71,17278316000
2015,Sonora,Maíz grano,Maíz grano blanco,Tonelada,Cielo abierto,Convencional,Nacional,19992.25,19992.25,0.0,120652.07,6.03,3361.34,405552360
2015,Tabasco,Maíz grano,Maíz grano blanco,Tonelada,Cielo abierto,Convencional,Nacional,84255.47,75959.47,8296.0,139363.17,1.83,3801.33,529764939
2015,Tamaulipas,Maíz grano,Maíz grano blanco,Tonelada,Cielo abierto,Convencional,Nacional,109761.97,91028.47,18733.5,300522.82,3.3,3024.64,908973770
2015,Tlaxcala,Maíz grano,Maíz grano blanco,Tonelada,Cielo abierto,Convencional,Nacional,116549.1,116549.1,0.0,325739.65,2.79,3119.37,1016103330
2015,Veracruz,Maíz grano,Maíz grano blanco,Tonelada,Cielo abierto,Convencional,Nacional,580999.9,563914.9,17085.0,1212089.33,2.15,3846.31,4662073560
2015,Yucatán,Maíz grano,Maíz grano blanco,Tonelada,Cielo abierto,Convencional,Nacional,88444.65,76961.51,11483.14,80820.56,1.05,3935.56,318074390
2015,Zacatecas,Maíz grano,Maíz grano blanco,Tonelada,Cielo abierto,Convencional,Nacional,202705.5,194972.01,7733.49,345442.62,1.77,3444.96,1190036430
2016,Aguascalientes,Maíz grano,Maíz grano blanco,Tonelada,Cielo abierto,Convencional,Nacional,37100.0,34693.0,2407.0,61117.6,1.76,3716.01,227113830
2016,Baja California,Maíz grano,Maíz grano blanco,Tonelada,Cielo abierto,Convencional,Nacional,480.0,305.0,175.0,2567.93,8.42,3754.95,9642440
2016,Baja California Sur,Maíz grano,Maíz grano blanco,Tonelada,Cielo abierto,Convencional,Nacional,7517.5,7517.5,0.0,49456.72,6.58,3639.24,179984830
2016,Campeche,Maíz grano,Maíz grano blanco,Tonelada,Cielo abierto,Convencional,Nacional,162315.0,160579.0,1736.0,405734.06,2.53,3495.1,1418080840
